district,village,office,agree,disagree
鹽埕區,河濱里,857,360,7
鹽埕區,沙地里,858,309,6
鹽埕區,南端里,859,395,9
鹽埕區,港都里,860,473,14
鹽埕區,江西里,861,482,12
鹽埕區,新豐里,862,309,8
鹽埕區,府北里,863,435,8
鹽埕區,府北里,864,341,11
鹽埕區,陸橋里,865,462,10
鹽埕區,瀨南里,866,247,8
鹽埕區,新化里,867,252,5
鹽埕區,江南里,868,316,6
旗津區,旗下里,869,538,20
旗津區,永安里,870,470,9
旗津區,振興里,871,717,13
旗津區,慈愛里,872,472,13
旗津區,慈愛里,873,475,10
旗津區,復興里,874,573,16
旗津區,復興里,875,510,16
旗津區,中華里,876,735,24
旗津區,實踐里,877,306,10
旗津區,北汕里,878,505,22
旗津區,北汕里,879,534,18
旗津區,南汕里,880,922,33
旗津區,上竹里,881,472,15
旗津區,上竹里,882,892,18
旗津區,中洲里,883,891,14
旗津區,安順里,884,406,11
旗津區,中興里,885,666,20
旗津區,中興里,886,574,13
三民區,鼎金里,887,795,16
三民區,鼎金里,888,783,12
三民區,鼎盛里,889,638,17
三民區,鼎盛里,890,768,14
三民區,鼎盛里,891,776,20
三民區,鼎盛里,892,840,15
三民區,鼎強里,893,911,18
三民區,鼎強里,894,824,22
三民區,鼎力里,895,879,27
三民區,鼎力里,896,779,20
三民區,鼎西里,897,761,21
三民區,鼎西里,898,794,9
三民區,鼎西里,899,758,23
三民區,鼎西里,900,729,15
三民區,鼎中里,901,855,17
三民區,鼎中里,902,735,14
三民區,鼎泰里,903,955,23
三民區,鼎泰里,904,754,24
三民區,鼎泰里,905,904,19
三民區,鼎泰里,906,870,12
三民區,鼎泰里,907,790,19
三民區,鼎泰里,908,828,26
三民區,鼎泰里,909,743,22
三民區,鼎泰里,910,721,21
三民區,鼎泰里,911,763,30
三民區,鼎泰里,912,780,24
三民區,本館里,913,763,19
三民區,本館里,914,719,15
三民區,本館里,915,655,16
三民區,本館里,916,695,18
三民區,本館里,917,704,11
三民區,本和里,918,697,16
三民區,本和里,919,686,20
三民區,本和里,920,723,17
三民區,本和里,921,739,19
三民區,本文里,922,422,21
三民區,本文里,923,422,11
三民區,本武里,924,762,10
三民區,本元里,925,696,12
三民區,本元里,926,669,20
三民區,本元里,927,786,12
三民區,本安里,928,535,8
三民區,本安里,929,612,9
三民區,本安里,930,637,6
三民區,本上里,931,631,10
三民區,本上里,932,581,10
三民區,本上里,933,604,8
三民區,本揚里,934,656,11
三民區,本揚里,935,573,15
三民區,本揚里,936,610,13
三民區,本揚里,937,607,18
三民區,本揚里,938,528,16
三民區,寶獅里,939,821,12
